Affiliation with Department	Record Count	% of 1,862
Simon Fraser University Department Of Psychology	1	0.054
Simon Fraser University Faculty Of Arts And Social Sciences	1	0.054
Simon Fraser University Faculty Of Science	1	0.054
Singapore Management University Lee Kong Chian School Of Business	1	0.054
Singapore Management University School Of Computing And Information Systems	1	0.054
Singapore Management University School Of Economics	1	0.054
Sns Faculty Of Sciences	1	0.054
Sobey School Of Business At Saint Mary S University	1	0.054
South China Normal University Institute Of Quantum Matter	1	0.054
South China Normal University International Business College	1	0.054
South China University Of Technology School Of Business Administration	1	0.054
Southeast University School Of Computer Science And Engineering	1	0.054
Southeast University School Of Economics And Management	1	0.054
Southern Illinois University Carbondale College Of Science	1	0.054
Southern Illinois University Department Of Zoology	1	0.054
Southwest Jiaotong University School Of Information Science And Technology	1	0.054
Southwestern University Of Finance And Economics School Of Statistics	1	0.054
Stanford University Department Of Biology	1	0.054
Stanford University Department Of Chemical And Systems Biology	1	0.054
Stanford University Department Of Communication	1	0.054
Stanford University Department Of Computer Science	1	0.054
Stanford University Department Of Electrical Engineering	1	0.054
Stanford University Department Of Pathology	1	0.054
Stanford University Graduate School Of Education	1	0.054
Stanford University Law School	1	0.054
State Key Laboratory Of Networking And Switching Technology	1	0.054
State Key Laboratory Of Rail Traffic Control And Safety	1	0.054
State University Of New York Suny Buffalo	1	0.054
Stockholm University Department Of Mathematics	1	0.054
Stockholm University Department Of Statistics	1	0.054
Stockholm University Faculty Of Natural Sciences	1	0.054
Sun Yat Sen University Cancer Center	1	0.054
Sun Yat Sen University Cancer Center Department Of Clinical Research	1	0.054
Sun Yat Sen University Collaborative Innovation Center For Cancer Medicine	1	0.054
Sun Yat Sen University School Of Mathematics	1	0.054
Sun Yat Sen University School Of Systems Science And Engineering	1	0.054
Sun Yat Sen University State Key Laboratory Of Oncology In South China	1	0.054
Suny Geneseo	1	0.054
Suny Geneseo Department Of Psychology	1	0.054
Swiss Federal Institute Of Technology College Of Management Of Technology	1	0.054
Syracuse University School Of Information Studies	1	0.054
Taiyuan University Of Technology College Of Economics And Management	1	0.054
Tampere University Faculty Of Information Technology And Communication Sciences	1	0.054
Technical University Of Munich Department Of Informatics	1	0.054
Technion Israel Institute Of Technology The Faculty Of Industrial Engineering Management	1	0.054
Technische Universitat Munchen Institute For Advanced Study	1	0.054
Technological And Higher Education Institute Of Monterrey School Engineering And Sciences	1	0.054
Tel Aviv University Department Of Industrial Engineering	1	0.054
Tel Aviv University Iby And Aladar Fleischman Faculty Of Engineering	1	0.054
Tel Aviv University Jaime And Joan Constantiner School Of Education	1	0.054
Tel Aviv University Lester And Sally Entin Faculty Of Humanities	1	0.054
Texas A M University College Of Agriculture And Life Sciences	1	0.054
Texas A M University Department Of Computer Science Engineering	1	0.054
Texas A M University Department Of Landscape Architecture Urban Planning	1	0.054
Texas A M University Department Of Recreation Park And Tourism Sciences	1	0.054
Texas A M University School Of Architecture	1	0.054
Texas Tech University Jerry S Rawls College Of Business Administration	1	0.054
The Chinese University Of Hong Kong Business School	1	0.054
The Chinese University Of Hong Kong Department Of Decision Sciences And Managerial Economics	1	0.054
The Chinese University Of Hong Kong Faculty Of Medicine	1	0.054
The Chinese University Of Hong Kong Stanley Ho Centre For Emerging Infectious Diseases	1	0.054
The Chinese University Of Hong Kong The Jockey Club School Of Public Health And Primary Care	1	0.054
The Education University Of Hong Kong Department Of Asian And Policy Studies	1	0.054
The Education University Of Hong Kong Department Of Science And Environmental Studies	1	0.054
The Hong Kong Polytechnic University Department Of Building And Real Estate	1	0.054
The Hong Kong Polytechnic University Department Of Land Surveying And Geoinformatics	1	0.054
The London School Of Economics And Political Science Department Of Economics	1	0.054
The London School Of Economics And Political Science Department Of Management	1	0.054
The London School Of Economics And Political Science Department Of Mathematics	1	0.054
The London School Of Economics And Political Science Department Of Methodology	1	0.054
The London School Of Economics And Political Science Department Of Psychological And Behavioural Science	1	0.054
The London School Of Economics And Political Science Department Of Statistics	1	0.054
The Ohio State University College Of Education And Human Ecology	1	0.054
The Ohio State University Department Of Educational Studies	1	0.054
The Ohio State University Department Of Evolution Ecology And Organismal Biology	1	0.054
The Ohio State University Department Of Mathematics	1	0.054
The Ohio State University Department Of Statistics	1	0.054
The Ohio State University John Glenn College Of Public Affairs	1	0.054
The Pennsylvania State University College Of Earth And Mineral Sciences	1	0.054
The Pennsylvania State University College Of Information Sciences And Technology	1	0.054
The Pennsylvania State University Department Of Political Science	1	0.054
The Pennsylvania State University Department Of Statistics	1	0.054
The Pennsylvania State University John And Willie Leone Family Department Of Energy And Mineral Engineering	1	0.054
The University Of Adelaide Faculty Of Engineering Computer And Mathematical Sciences	1	0.054
The University Of Adelaide School Of Mathematical Sciences	1	0.054
The University Of Alabama At Birmingham College Of Arts And Sciences	1	0.054
The University Of Alabama At Birmingham Department Of Sociology	1	0.054
The University Of Arizona Cancer Center North Campus	1	0.054
The University Of Arizona College Of Engineering	1	0.054
The University Of Arizona College Of Medicine Tucson	1	0.054
The University Of Arizona College Of Science	1	0.054
The University Of Arizona Department Of Ecology And Evolutionary Biology	1	0.054
The University Of Arizona Department Of Management Information Systems	1	0.054
The University Of Arizona Department Of Systems And Industrial Engineering	1	0.054
The University Of Arizona Eller College Of Management	1	0.054
The University Of Arizona Life And Molecular Sciences	1	0.054
The University Of Arizona School Of Government And Public Policy	1	0.054
The University Of Auckland Faculty Of Medical And Health Sciences	1	0.054
The University Of Auckland Faculty Of Science	1	0.054
The University Of Auckland School Of Biological Sciences	1	0.054
The University Of Auckland School Of Population Health	1	0.054
The University Of British Columbia Department Of Anesthesiology Pharmacology Therapeutics	1	0.054
The University Of British Columbia Department Of Forest Resources Management	1	0.054
The University Of British Columbia Department Of Psychiatry	1	0.054
The University Of British Columbia Department Of Psychology	1	0.054
The University Of British Columbia Department Of Statistics	1	0.054
The University Of British Columbia Department Of Zoology	1	0.054
The University Of British Columbia Faculty Of Forestry	1	0.054
The University Of British Columbia Faculty Of Medicine	1	0.054
The University Of Edinburgh Business School	1	0.054
The University Of Edinburgh College Of Medicine And Veterinary Medicine	1	0.054
The University Of Edinburgh College Of Science And Engineering	1	0.054
The University Of Edinburgh Psychology Department	1	0.054
The University Of Edinburgh Royal Dick School Of Veterinary Studies	1	0.054
The University Of Edinburgh School Of Informatics	1	0.054
The University Of Edinburgh School Of Philosophy Psychology And Language Sciences	1	0.054
The University Of Edinburgh The Roslin Institute	1	0.054
The University Of Hong Kong Department Of Sociology	1	0.054
The University Of Hong Kong Faculty Of Education	1	0.054
The University Of Hong Kong The Hong Kong Jockey Club Centre For Suicide Research And Prevention	1	0.054
The University Of Melbourne Department Of Management And Marketing	1	0.054
The University Of Melbourne Faculty Of Arts	1	0.054
The University Of Melbourne School Of Historical And Philosophical Studies	1	0.054
The University Of North Carolina At Chapel Hill Department Of Epidemiology	1	0.054
The University Of North Carolina At Chapel Hill Department Of Mathematics	1	0.054
The University Of North Carolina At Chapel Hill Department Of Statistics And Operations Research	1	0.054
The University Of North Carolina At Chapel Hill Hussman School Of Journalism And Media	1	0.054
The University Of North Carolina At Chapel Hill Odum Institute For Research In Social Science	1	0.054
The University Of Oklahoma Gallogly College Of Engineering	1	0.054
The University Of Oklahoma School Of Computer Science	1	0.054
The University Of Queensland Faculty Of Humanities And Social Sciences	1	0.054
The University Of Queensland Faculty Of Science	1	0.054
The University Of Queensland School Of Communication And Arts	1	0.054
The University Of Queensland School Of Earth And Environmental Sciences	1	0.054
The University Of Sheffield Institute Of Work Psychology	1	0.054
The University Of Sheffield Management School	1	0.054
The University Of Sheffield School Of East Asian Studies	1	0.054
The University Of Sydney Business School	1	0.054
The University Of Sydney Faculty Of Medicine And Health	1	0.054
The University Of Sydney Faculty Of Science	1	0.054
The University Of Sydney Institute Of Agriculture	1	0.054
The University Of Sydney School Of Health Sciences	1	0.054
The University Of Tennessee Knoxville Department Of Ecology And Evolutionary Biology	1	0.054
The University Of Tennessee Knoxville Department Of Mathematics	1	0.054
The University Of Tennessee Knoxville Department Of Psychology	1	0.054
The University Of Texas At Austin Department Of Psychology	1	0.054
The University Of Texas At Austin Department Of Radio Television Film	1	0.054
The University Of Texas At Austin Department Of Sociology	1	0.054
The University Of Texas At Austin Moody College Of Communication	1	0.054
The University Of Texas At Austin Population Research Center	1	0.054
The University Of Texas At Austin Red Mccombs School Of Business	1	0.054
The University Of Texas At Dallas School Of Economic Political And Policy Sciences	1	0.054
The University Of The West Indies At Mona Faculty Of Humanities And Education	1	0.054
The University Of The West Indies At Mona School Of Education	1	0.054
The University Of The West Indies At St Augustine Faculty Of Humanities And Education	1	0.054
The University Of The West Indies At St Augustine School Of Education	1	0.054
The University Of Tokyo Graduate School Of Arts And Sciences College Of Arts And Sciences Department Of General Systems Studies	1	0.054
The University Of Tokyo Graduate School Of Arts And Sciences Multi Disciplinary Sciences Department Of Basic Sciences	1	0.054
The University Of Tokyo Institute For Future Initiatives	1	0.054
The University Of Toledo College Of Arts And Letters	1	0.054
The University Of Toledo Department Of Psychology	1	0.054
The University Of Utah College Of Humanities	1	0.054
The University Of Utah Department Of Communication	1	0.054
The University Of Utah Department Of Internal Medicine	1	0.054
The University Of Utah Division Of Epidemiology	1	0.054
The University Of Utah School Of Medicine	1	0.054
Tilburg University Department Methodology And Statistics	1	0.054
Tilburg University Department Of Sociology	1	0.054
Tokyo Institute Of Technology Institute Of Innovative Research	1	0.054
Toronto Metropolitan University Department Of Sociology	1	0.054
Toronto Metropolitan University Faculty Of Arts	1	0.054
Toronto Metropolitan University Ted Rogers School Of Management	1	0.054
Trinity College Dublin School Of Social Sciences And Philosophy	1	0.054
Tsinghua National Laboratory For Information Science And Technology	1	0.054
Tsinghua University Department Of Automation	1	0.054
Tsinghua University Department Of Computer Science And Technology	1	0.054
Tsinghua University School Of Public Policy And Management	1	0.054
Tu Darmstadt Department Of Computer Science	1	0.054
Tufts University Department Of Philosophy	1	0.054
Tufts University Department Of Psychology	1	0.054
Ucl Queen Square Institute Of Neurology	1	0.054
Ucla Department Of Economics	1	0.054
Ucla Jane And Terry Semel Institute For Neuroscience And Human Behavior	1	0.054
Ulb Department For The Biology Of Organisms	1	0.054
Ulb Faculty Of Sciences	1	0.054
Ulb Unit Of Social Ecology	1	0.054
Umea University Department Of Law	1	0.054
Umea University Faculty Of Social Sciences	1	0.054
Unc Charlotte Belk College Of Business	1	0.054
Unc Charlotte Department Of Criminal Justice And Criminology	1	0.054
Unc Charlotte Department Of Management	1	0.054
Unc Charlotte Department Of Sociology	1	0.054
Universitat Jaume I Faculty Of Humanities And Social Sciences	1	0.054
University At Buffalo College Of Arts And Sciences	1	0.054
University At Buffalo Department Of Sociology	1	0.054
University Carlos Iii Of Madrid Department Of Economics	1	0.054
University College Cork College Of Arts Celtic Studies And Social Sciences	1	0.054
University College Cork School Of Asian Studies	1	0.054
University College Dublin College Of Science	1	0.054
University College Dublin College Of Social Sciences And Law	1	0.054
University College Dublin School Of Computer Science And Informatics	1	0.054
University College Dublin School Of Sociology	1	0.054
University College London Bartlett School Of Graduate Studies	1	0.054
University College London Department Of Anthropology	1	0.054
University College London Department Of Geography	1	0.054
University College London Faculty Of Brain Sciences	1	0.054
University College London Faculty Of Life Sciences	1	0.054
University College London Research Department Of Genetics Evolution And Environment	1	0.054
University College London School Of Public Policy	1	0.054
University Jaume I Department Of Communication Sciences	1	0.054
University Of Algarve Interdisciplinary Center For Archaeology And Evolution Of Human Behavior	1	0.054
University Of Amsterdam Amsterdam School Of Communications Research	1	0.054
University Of Amsterdam Department Of Political Science	1	0.054
University Of Amsterdam Institute For Advanced Study	1	0.054
University Of Amsterdam Institute For Biodiversity And Ecosystem Dynamics	1	0.054
University Of Arizona Health Sciences	1	0.054
University Of Arkansas For Medical Sciences Fay W Boozman College Of Public Health	1	0.054
University Of Augsburg Faculty Of Applied Computer Science	1	0.054
University Of Augsburg Faculty Of Business And Economics	1	0.054
University Of Augsburg Institute Of Computer Science	1	0.054
University Of Bahrain College Of Business Administration	1	0.054
University Of Bamberg Economics Department	1	0.054
University Of Bamberg Faculty Of Social Sciences And Economics	1	0.054
University Of Basel Faculty Of Psychology	1	0.054
University Of Bath Department Of Natural Sciences	1	0.054
University Of Belgrade Faculty Of Agriculture	1	0.054
University Of Bern Department Of Business Administration	1	0.054
University Of Bern Department Of Social Sciences	1	0.054
University Of Bern Institute Of Marketing And Management	1	0.054
University Of Bern Institute Of Sociology	1	0.054
University Of Birmingham College Of Medical And Dental Sciences	1	0.054
University Of Birmingham Institute Of Cancer And Genomic Sciences	1	0.054
University Of Birmingham Institute Of Translational Medicine	1	0.054
University Of Bologna Department Of Agri Food Sciences And Technologies	1	0.054
University Of Bologna Department Of Economics	1	0.054
University Of Bologna School Of Economics And Management	1	0.054
University Of Bologna School Of Science	1	0.054
University Of Bonn Center For Development Research	1	0.054
University Of Bremen Faculty 08 Social Sciences	1	0.054
University Of Bremen Research Center On Inequality And Social Policy	1	0.054
University Of Bristol Faculty Of Health Sciences	1	0.054
University Of Bristol Faculty Of Science	1	0.054
University Of Bristol School Of Experimental Psychology	1	0.054
University Of Bristol School Of Social And Community Medicine	1	0.054
University Of Buenos Aires Department Of Physics	1	0.054
University Of Buenos Aires Faculty Of Exact And Natural Sciences	1	0.054
University Of Calabria Department Of Computer Engineering Modelling Electronics And Systems	1	0.054
University Of California Berkeley Department Of Economics	1	0.054
University Of California Berkeley Division Of Infectious Diseases And Vaccinology	1	0.054
University Of California Berkeley Graduate School Of Education	1	0.054
University Of California Berkeley Institute For The Study Of Societal Issues	1	0.054
University Of California Berkeley Research	1	0.054
University Of California Davis Department Of Anthropology	1	0.054
University Of California Davis Department Of Economics	1	0.054
University Of California Davis Department Of Entomology And Nematology	1	0.054
University Of California Davis Department Of Medicine And Epidemiology	1	0.054
University Of California Davis Department Of Population Health And Reproduction	1	0.054
University Of California Davis Department Of Statistics	1	0.054
University Of California Davis Division Of Mathematical And Physical Sciences	1	0.054
University Of California Department Of Biochemistry And Biophysics	1	0.054
University Of California Irvine Department Of Cognitive Sciences	1	0.054
University Of California Irvine Department Of Emergency Medicine	1	0.054
University Of California Irvine Health Affairs	1	0.054
University Of California Irvine School Of Law	1	0.054
University Of California Irvine School Of Medicine	1	0.054
University Of California Los Angeles Aids Institute	1	0.054
University Of California Los Angeles Center For Hiv Identification Prevention And Treatment Services	1	0.054
University Of California Los Angeles Department Of Psychiatry And Biobehavioral Sciences	1	0.054
University Of California Riverside College Of Humanities Arts And Social Sciences	1	0.054
University Of California Riverside Department Of Computer Science And Engineering	1	0.054
University Of California Riverside Department Of Sociology	1	0.054
University Of California Riverside Marlan And Rosemary Bourns College Of Engineering	1	0.054
University Of California San Diego Department Of Electrical And Computer Engineering	1	0.054
University Of California San Diego Department Of Psychology	1	0.054
University Of California San Diego Department Of Sociology	1	0.054
University Of California San Diego Division Of Global Public Health	1	0.054
University Of California San Francisco Center For Tobacco Control Research And Education	1	0.054
University Of California San Francisco Department Of Medicine	1	0.054
University Of California San Francisco Department Of Radiology And Biomedical Imagery	1	0.054
University Of California San Francisco Department Of Social And Behavioral Sciences	1	0.054
University Of California San Francisco School Of Medicine	1	0.054
University Of California San Francisco School Of Nursing	1	0.054
University Of California Santa Barbara Department Of Communication	1	0.054
University Of California Santa Barbara Department Of Computer Science	1	0.054
University Of California Santa Barbara Department Of Economics	1	0.054
University Of California Santa Barbara Department Of Psychological And Brain Sciences	1	0.054
University Of California Santa Barbara Department Of Religious Studies	1	0.054
University Of California Santa Barbara Division Of Humanities And Fine Arts	1	0.054
University Of California Santa Barbara Division Of Mathematical Life And Physical Sciences	1	0.054
University Of California Santa Cruz Division Of Physical Biological Sciences	1	0.054
University Of California Santa Cruz Institute Of Marine Sciences	1	0.054
University Of Cambridge Behavioural And Clinical Neuroscience Institute	1	0.054
University Of Cambridge Computer Laboratory	1	0.054
University Of Cambridge Department Of Engineering	1	0.054
University Of Cambridge Department Of Land Economy	1	0.054
University Of Cambridge Department Of Pathology	1	0.054
University Of Cambridge Department Of Physics	1	0.054
University Of Cambridge Department Of Psychiatry	1	0.054
University Of Cambridge Department Of Psychology	1	0.054
University Of Cambridge Department Of Sociology	1	0.054
University Of Cambridge Faculty Of Economics	1	0.054
University Of Cambridge Faculty Of Human Social And Political Science	1	0.054
University Of Cambridge Faculty Of Physics And Chemistry	1	0.054
University Of Cambridge Institute For Manufacturing	1	0.054
University Of Cambridge Sainsbury Laboratory	1	0.054
University Of Cambridge School Of Clinical Medicine	1	0.054
University Of Cambridge School Of The Physical Sciences	1	0.054
University Of Cape Town Department Of Human Biology	1	0.054
University Of Cape Town Faculty Of Health Sciences	1	0.054
University Of Catania Department Of Physics And Astronomy	1	0.054
University Of Central Florida College Of Community Innovation And Education	1	0.054
University Of Central Florida College Of Medicine	1	0.054
University Of Central Florida Department Of Computer Science	1	0.054
University Of Central Florida Department Of Psychology	1	0.054
University Of Central Florida Department Of Statistics Data Science	1	0.054
University Of Central Florida School Of Public Administration	1	0.054
University Of Chicago Department Of Economics	1	0.054
University Of Chicago Department Of Medicine	1	0.054
University Of Chicago Division Of The Biological Sciences	1	0.054
University Of Chicago School Of Social Service Administration	1	0.054
University Of Chile Department Of Industrial Engineering	1	0.054
University Of Chile Department Of Physics	1	0.054
University Of Chile Faculty Of Sciences	1	0.054
University Of Cincinnati Department Of Biological Sciences	1	0.054
University Of Cincinnati Mcmicken College Of Arts And Sciences	1	0.054
University Of Coimbra Centre For Functional Ecology Science For People The Planet	1	0.054
University Of Coimbra Faculty Of Sciences And Technology	1	0.054
University Of Cologne Department Of Psychology	1	0.054
University Of Cologne Faculty Of Humanities	1	0.054
University Of Colorado Boulder Department Of Applied Mathematics	1	0.054
University Of Colorado Boulder Department Of Ecology And Evolutionary Biology	1	0.054
University Of Colorado Boulder Institute Of Behavioral Science	1	0.054
University Of Colorado Denver School Of Public Affairs	1	0.054
University Of Connecticut College Of Agriculture Health And Natural Resources	1	0.054
University Of Connecticut Department Of Allied Health Sciences	1	0.054
University Of Connecticut Department Of Psychological Sciences	1	0.054
University Of Connecticut Department Of Sociology	1	0.054
University Of Copenhagen Department Of Biology	1	0.054
University Of Copenhagen Department Of Political Science	1	0.054
University Of Copenhagen Faculty Of Science	1	0.054
University Of Delaware College Of Arts And Sciences	1	0.054
University Of Delaware Department Of Political Science And International Relations	1	0.054
University Of Denver Graduate School Of Social Work	1	0.054
University Of Dundee Division Of Education And Society	1	0.054
University Of Dundee School Of Humanities Social Sciences And Law	1	0.054
University Of East Anglia Faculty Of Social Sciences	1	0.054
University Of East Anglia School Of International Development	1	0.054
University Of Essex Business School	1	0.054
University Of Essex Faculty Of Social Sciences	1	0.054
University Of Ferrara Department Of Mathematics And Computer Science	1	0.054
University Of Florence School Of Economics And Management	1	0.054
University Of Florida Clinical And Translational Science Institute Ctsi	1	0.054
University Of Florida Department Of Agricultural And Biological Engineering	1	0.054
University Of Florida Department Of Computer And Information Science And Engineering	1	0.054
University Of Florida Department Of Geography	1	0.054
University Of Florida Health	1	0.054
University Of Florida Herbert Wertheim College Of Engineering	1	0.054
University Of Florida School Of Natural Resources And Environment	1	0.054
University Of Florida Warrington College Of Business	1	0.054
University Of Foggia Department Of Economics	1	0.054
University Of Geneva Department Of Political Sciences And International Relations	1	0.054
University Of Geneva Uni Mail Campus	1	0.054
University Of Georgia Warnell School Of Forestry And Natural Resources	1	0.054
University Of Glasgow College Of Medical Veterinary And Life Sciences	1	0.054
University Of Glasgow Mrc Cso Social And Public Health Sciences Unit	1	0.054
University Of Glasgow School Of Health And Wellbeing	1	0.054
University Of Glasgow School Of Social And Political Sciences	1	0.054
University Of Glasgow School Of Veterinary Medicine	1	0.054
University Of Greenwich Business School	1	0.054
University Of Groningen Department Of Psychology	1	0.054
University Of Haifa Department Of Communication	1	0.054
University Of Haifa Faculty Of Social Welfare And Health Sciences	1	0.054
University Of Haifa Health And Risk Communication Research Center	1	0.054
University Of Haifa School Of Public Health	1	0.054
University Of Hamburg Department Of Economics	1	0.054
University Of Hamburg Faculty Of Business Economics And Social Sciences	1	0.054
University Of Hawai I At Manoa College Of Natural Sciences	1	0.054
University Of Hawai I At Manoa College Of Social Sciences	1	0.054
University Of Hawai I At Manoa Colleges Of Arts Sciences	1	0.054
University Of Hawai I At Manoa Department Of Botany	1	0.054
University Of Hawai I At Manoa Department Of Economics	1	0.054
University Of Helsinki Faculty Of Educational Sciences	1	0.054
University Of Helsinki Faculty Of Social Sciences	1	0.054
University Of Helsinki Teacher Education Development Project	1	0.054
University Of Houston Department Of Biology And Biochemistry	1	0.054
University Of Houston Department Of Computer Science	1	0.054
University Of Houston Jack J Valenti School Of Communication	1	0.054
University Of Illinois Chicago College Of Liberal Arts And Sciences	1	0.054
University Of Illinois Chicago College Of Urban Planning And Public Affairs	1	0.054
University Of Illinois Chicago Department Of Communication	1	0.054
University Of Illinois Chicago Department Of Public Administration	1	0.054
University Of Insubria Department Of Science And High Technology	1	0.054
University Of Kashan Faculty Of Electrical And Computer Engineering	1	0.054
University Of Kassel Center For Environmental Systems Research	1	0.054
University Of Kassel Kas Sel In Sti Tu Te For Sustaina Bi Li Ty	1	0.054
University Of Kent Division Of Human And Social Sciences	1	0.054
University Of Kent School Of Politics And International Relations	1	0.054
University Of Kentucky Department Of Management	1	0.054
University Of Kentucky School Of Management	1	0.054
University Of Kiel Faculty Of Agricultural And Nutritional Sciences	1	0.054
University Of Kiel Institute For Animal Breeding And Husbandry	1	0.054
University Of Konstanz Department Of Psychology	1	0.054
University Of L Aquila Department Of Industrial And Computer Engineering And Economics	1	0.054
University Of Lausanne Department Of Ecology And Evolution	1	0.054
University Of Lausanne Faculty Of Biology And Medicine	1	0.054
University Of Lausanne Faculty Of Social And Political Science	1	0.054
University Of Lausanne Institute Of Social Sciences	1	0.054
University Of Lausanne Life Course And Inequality Research Centre	1	0.054
University Of Lausanne Section Of Fundamental Sciences	1	0.054
University Of Leeds Faculty Of Biological Sciences	1	0.054
University Of Leeds School Of Biology	1	0.054
University Of Leicester College Of Social Sciences	1	0.054
University Of Leicester Department Of Media And Communication	1	0.054
University Of Leicester School Of Management	1	0.054
University Of León School Of Industrial Engineering And Computer Science	1	0.054
University Of Limerick Department Of Mathematics And Statistics	1	0.054
University Of Limerick Faculty Of Science And Engineering	1	0.054
University Of Liverpool Faculty Of Humanities And Social Sciences	1	0.054
University Of Liverpool Faculty Of Science And Engineering	1	0.054
University Of Liverpool Management School	1	0.054
University Of Liverpool School Of Environmental Sciences	1	0.054
University Of Louisville College Of Business	1	0.054
University Of Lugano Faculty Of Informatics	1	0.054
University Of Macau Department Of Computer And Information Science	1	0.054
University Of Macau Department Of Finance And Business Economics	1	0.054
University Of Macau Department Of Psychology	1	0.054
University Of Macau Faculty Of Business Administration	1	0.054
University Of Macau Faculty Of Science And Technology	1	0.054
University Of Macau Faculty Of Social Sciences	1	0.054
University Of Macau Institute Of Chinese Medical Science	1	0.054
University Of Mannheim Business School	1	0.054
University Of Mannheim School Of Social Sciences	1	0.054
University Of Maryland At College Park A James Clark School Of Engineering	1	0.054
University Of Maryland At College Park College Of Arts And Humanities	1	0.054
University Of Maryland At College Park College Of Information Studies	1	0.054
University Of Maryland At College Park Department Of Mechanical Engineering	1	0.054
University Of Maryland At College Park Robert H Smith School Of Business	1	0.054
University Of Maryland College Of Education	1	0.054
University Of Maryland Department Of Communication	1	0.054
University Of Maryland Department Of Criminology And Criminal Justice	1	0.054
University Of Maryland Department Of Family Science	1	0.054
University Of Maryland Department Of Human Development And Quantitative Methodology	1	0.054
University Of Maryland School Of Public Health	1	0.054
University Of Massachusetts Amherst College Of Natural Sciences	1	0.054
University Of Massachusetts Amherst Department Of Computer Science	1	0.054
University Of Massachusetts Amherst Isenberg School Of Management	1	0.054
University Of Massachusetts Amherst School Of Public Health And Health Sciences	1	0.054
University Of Miami Department Of Medicine	1	0.054
University Of Miami Department Of Physics	1	0.054
University Of Miami Department Of Psychology	1	0.054
University Of Miami Division Of Prevention Science And Community Health	1	0.054
University Of Michigan Biological Station	1	0.054
University Of Michigan Center For Political Studies	1	0.054
University Of Michigan Department Of Communication Studies	1	0.054
University Of Michigan Department Of Health Behavior And Health Education	1	0.054
University Of Michigan Department Of Internal Medicine	1	0.054
University Of Michigan Division Of General Medicine	1	0.054
University Of Michigan Geriatrics Center	1	0.054
University Of Michigan School Of Medicine	1	0.054
University Of Michigan School Of Nursing	1	0.054
University Of Michigan School Of Public Health	1	0.054
University Of Milan Bicocca Department Of Sociology And Social Research	1	0.054
University Of Milan Department Of Social And Political Sciences	1	0.054
University Of Milan Faculty Of Political Economic And Social Science	1	0.054
University Of Minho Centre For Research In Economics And Management	1	0.054
University Of Minho School Of Economics And Management	1	0.054
University Of Minnesota Twin Cities College Of Education And Human Development	1	0.054
University Of Minnesota Twin Cities Department Of Educational Psychology	1	0.054
University Of Minnesota Twin Cities Department Of Veterinary Population Medicine	1	0.054
University Of Minnesota Twin Cities Minnesota Population Center	1	0.054
University Of Montana College Of Humanities And Sciences	1	0.054
University Of Montana Division Of Biological Sciences	1	0.054
University Of Montreal Department Od Sociology	1	0.054
University Of Montreal Department Of Anthropology	1	0.054
University Of Montreal Faculty Of Nursing	1	0.054
University Of Montreal School Of Criminology	1	0.054
University Of Naples Federico Ii Department Of Electrical Engineering And Information Technology	1	0.054
University Of Naples Federico Ii Department Of Political Sciences	1	0.054
University Of Naples Federico Ii Polytechnic And Applied Sciences School	1	0.054
University Of Naples Federico Ii School Of Humanities And Social Sciences	1	0.054
University Of Neuchâtel Faculty Of Sciences	1	0.054
University Of Neuchâtel Institute Of Biology	1	0.054
University Of New Mexcio Department Of Physics And Astronomy	1	0.054
University Of New Mexico Department Of Chemistry And Chemical Biology	1	0.054
University Of New Mexico Department Of Computer Science	1	0.054
University Of New Mexico Department Of Sociology	1	0.054
University Of New Mexico School Of Engineering	1	0.054
University Of New South Wales Adfa School Of Engineering And Information Technology	1	0.054
University Of New South Wales Canberra At Adfa	1	0.054
University Of New South Wales School Of Psychology	1	0.054
University Of North Texas College Of Arts And Sciences	1	0.054
University Of North Texas Department Of Sociology	1	0.054
University Of Novi Sad Faculty Of Philosophy	1	0.054
University Of Oregon Charles H Lundquist College Of Business	1	0.054
University Of Oregon College Of Arts And Sciences	1	0.054
University Of Oregon Department Of Psychology	1	0.054
University Of Otago Department Of Marketing	1	0.054
University Of Otago Division Of Health Sciences	1	0.054
University Of Otago Otago Business School	1	0.054
University Of Otago Wellington	1	0.054
University Of Otago Wellington Department Of Public Health	1	0.054
University Of Ottawa Faculty Of Social Sciences	1	0.054
University Of Ottawa School Of International Development And Global Studies	1	0.054
University Of Oxford Department Of Computing Science	1	0.054
University Of Oxford Department Of Economics	1	0.054
University Of Oxford Department Of Engineering Science	1	0.054
University Of Oxford Department Of Politics And International Relations	1	0.054
University Of Oxford Department Of Social Policy And Intervention	1	0.054
University Of Oxford Environmental Change Institute	1	0.054
University Of Oxford Institute Of Cognitive And Evolutionary Anthropology	1	0.054
University Of Oxford Mathematical Institute	1	0.054
University Of Oxford Merton College	1	0.054
University Of Oxford School Of Anthropology And Museum Ethnography	1	0.054
University Of Padua Department Of Physics And Astronomy Galileo Galilei	1	0.054
University Of Padua School Of Sciences	1	0.054
University Of Palermo Department Of Physics And Chemistry Emilio Segrè	1	0.054
University Of Pavia Department Of Economics And Management	1	0.054
University Of Pavia Felice Casorati Department Of Mathematics	1	0.054
University Of Pennsylvania Center For Bioethics	1	0.054
University Of Pennsylvania Department Of Electrical And Systems Engineering	1	0.054
University Of Pennsylvania Department Of Mathematics	1	0.054
University Of Pennsylvania Department Of Sociology	1	0.054
University Of Pennsylvania School Of Engineering And Applied Science	1	0.054
